   0.0000000e+00	   1.1102230e-16	   1.4142136e+00	   1.1102230e-16	   1.4142136e+00	   4.5000000e+01	   9.0000000e+01	  -0.0000000e+00	  -0.0000000e+00	
   2.0000000e-02	  -2.9800000e-04	   1.4137921e+00	  -2.9800000e-04	   1.4137921e+00	   4.4995007e+01	   9.0034141e+01	   0.0000000e+00	  -0.0000000e+00	
   4.0000000e-02	  -1.1840000e-03	   1.4125391e+00	  -1.1840000e-03	   1.4125391e+00	   4.4980248e+01	   9.0135556e+01	   0.0000000e+00	  -0.0000000e+00	
   6.0000000e-02	  -2.6460000e-03	   1.4104716e+00	  -2.6460000e-03	   1.4104716e+00	   4.4956180e+01	   9.0302609e+01	   0.0000000e+00	  -0.0000000e+00	
   8.0000000e-02	  -4.6720000e-03	   1.4076064e+00	  -4.6720000e-03	   1.4076064e+00	   4.4923419e+01	   9.0533504e+01	   0.0000000e+00	  -0.0000000e+00	
   1.0000000e-01	  -7.2500000e-03	   1.4039605e+00	  -7.2500000e-03	   1.4039605e+00	   4.4882721e+01	   9.0826300e+01	   0.0000000e+00	  -0.0000000e+00	
   1.2000000e-01	  -1.0368000e-02	   1.3995510e+00	  -1.0368000e-02	   1.3995510e+00	   4.4834980e+01	   9.1178930e+01	   0.0000000e+00	  -0.0000000e+00	
   1.4000000e-01	  -1.4014000e-02	   1.3943948e+00	  -1.4014000e-02	   1.3943948e+00	   4.4781211e+01	   9.1589211e+01	   0.0000000e+00	  -0.0000000e+00	
   1.6000000e-01	  -1.8176000e-02	   1.3885088e+00	  -1.8176000e-02	   1.3885088e+00	   4.4722544e+01	   9.2054864e+01	   0.0000000e+00	  -0.0000000e+00	
   1.8000000e-01	  -2.2842000e-02	   1.3819101e+00	  -2.2842000e-02	   1.3819101e+00	   4.4660211e+01	   9.2573524e+01	   0.0000000e+00	  -0.0000000e+00	
   2.0000000e-01	  -2.8000000e-02	   1.3746156e+00	  -2.8000000e-02	   1.3746156e+00	   4.4595536e+01	   9.3142760e+01	   0.0000000e+00	  -0.0000000e+00	
   2.2000000e-01	  -3.3638000e-02	   1.3666422e+00	  -3.3638000e-02	   1.3666422e+00	   4.4529930e+01	   9.3760083e+01	   0.0000000e+00	  -0.0000000e+00	
   2.4000000e-01	  -3.9744000e-02	   1.3580071e+00	  -3.9744000e-02	   1.3580071e+00	   4.4464882e+01	   9.4422963e+01	   0.0000000e+00	  -0.0000000e+00	
   2.6000000e-01	  -4.6306000e-02	   1.3487270e+00	  -4.6306000e-02	   1.3487270e+00	   4.4401951e+01	   9.5128839e+01	   0.0000000e+00	  -0.0000000e+00	
   2.8000000e-01	  -5.3312000e-02	   1.3388190e+00	  -5.3312000e-02	   1.3388190e+00	   4.4342758e+01	   9.5875129e+01	   0.0000000e+00	  -0.0000000e+00	
   3.0000000e-01	  -6.0750000e-02	   1.3283001e+00	  -6.0750000e-02	   1.3283001e+00	   4.4288987e+01	   9.6659239e+01	   0.0000000e+00	  -0.0000000e+00	
   3.2000000e-01	  -6.8608000e-02	   1.3171872e+00	  -6.8608000e-02	   1.3171872e+00	   4.4242370e+01	   9.7478573e+01	   0.0000000e+00	  -0.0000000e+00	
   3.4000000e-01	  -7.6874000e-02	   1.3054973e+00	  -7.6874000e-02	   1.3054973e+00	   4.4204692e+01	   9.8330538e+01	   0.0000000e+00	  -0.0000000e+00	
   3.6000000e-01	  -8.5536000e-02	   1.2932474e+00	  -8.5536000e-02	   1.2932474e+00	   4.4177784e+01	   9.9212549e+01	   0.0000000e+00	  -0.0000000e+00	
   3.8000000e-01	  -9.4582000e-02	   1.2804544e+00	  -9.4582000e-02	   1.2804544e+00	   4.4163517e+01	   1.0012204e+02	   0.0000000e+00	  -0.0000000e+00	
   4.0000000e-01	  -1.0400000e-01	   1.2671354e+00	  -1.0400000e-01	   1.2671354e+00	   4.4163804e+01	   1.0105645e+02	   0.0000000e+00	  -0.0000000e+00	
   4.2000000e-01	  -1.1377800e-01	   1.2533072e+00	  -1.1377800e-01	   1.2533072e+00	   4.4180595e+01	   1.0201325e+02	   0.0000000e+00	  -0.0000000e+00	
   4.4000000e-01	  -1.2390400e-01	   1.2389868e+00	  -1.2390400e-01	   1.2389868e+00	   4.4215875e+01	   1.0298992e+02	   0.0000000e+00	  -0.0000000e+00	
   4.6000000e-01	  -1.3436600e-01	   1.2241913e+00	  -1.3436600e-01	   1.2241913e+00	   4.4271662e+01	   1.0398398e+02	   0.0000000e+00	  -0.0000000e+00	
   4.8000000e-01	  -1.4515200e-01	   1.2089376e+00	  -1.4515200e-01	   1.2089376e+00	   4.4350007e+01	   1.0499296e+02	   0.0000000e+00	  -0.0000000e+00	
   5.0000000e-01	  -1.5625000e-01	   1.1932427e+00	  -1.5625000e-01	   1.1932427e+00	   4.4452991e+01	   1.0601440e+02	   0.0000000e+00	  -0.0000000e+00	
   5.2000000e-01	  -1.6764800e-01	   1.1771235e+00	  -1.6764800e-01	   1.1771235e+00	   4.4582719e+01	   1.0704587e+02	   0.0000000e+00	  -0.0000000e+00	
   5.4000000e-01	  -1.7933400e-01	   1.1605970e+00	  -1.7933400e-01	   1.1605970e+00	   4.4741323e+01	   1.0808496e+02	   0.0000000e+00	  -0.0000000e+00	
   5.6000000e-01	  -1.9129600e-01	   1.1436802e+00	  -1.9129600e-01	   1.1436802e+00	   4.4930953e+01	   1.0912928e+02	   0.0000000e+00	  -0.0000000e+00	
   5.8000000e-01	  -2.0352200e-01	   1.1263900e+00	  -2.0352200e-01	   1.1263900e+00	   4.5153778e+01	   1.1017644e+02	   0.0000000e+00	  -0.0000000e+00	
   6.0000000e-01	  -2.1600000e-01	   1.1087434e+00	  -2.1600000e-01	   1.1087434e+00	   4.5411976e+01	   1.1122406e+02	   0.0000000e+00	  -0.0000000e+00	
   6.2000000e-01	  -2.2871800e-01	   1.0907575e+00	  -2.2871800e-01	   1.0907575e+00	   4.5707729e+01	   1.1226978e+02	   0.0000000e+00	  -0.0000000e+00	
   6.4000000e-01	  -2.4166400e-01	   1.0724491e+00	  -2.4166400e-01	   1.0724491e+00	   4.6043216e+01	   1.1331125e+02	   0.0000000e+00	  -0.0000000e+00	
   6.6000000e-01	  -2.5482600e-01	   1.0538352e+00	  -2.5482600e-01	   1.0538352e+00	   4.6420603e+01	   1.1434610e+02	   0.0000000e+00	  -0.0000000e+00	
   6.8000000e-01	  -2.6819200e-01	   1.0349328e+00	  -2.6819200e-01	   1.0349328e+00	   4.6842029e+01	   1.1537200e+02	   0.0000000e+00	  -0.0000000e+00	
