   0.0000000e+00	   1.8369702e-16	   3.0000000e+00	   1.5707963e+00	   1.8369702e-16	   3.0000000e+00	   1.5707963e+00	   9.0000000e+01	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   2.0000000e-02	  -1.9710267e-05	   3.0000000e+00	   1.5708118e+00	  -1.9701200e-05	   2.9999852e+00	   1.5708118e+00	   8.9999975e+01	   2.9521333e-04	   6.1529866e-04	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   4.0000000e-02	  -1.5529034e-04	   3.0000000e+00	   1.5709181e+00	  -1.5523840e-04	   2.9998836e+00	   1.5709183e+00	   8.9999788e+01	   2.3434234e-03	   4.8456115e-03	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   6.0000000e-02	  -5.1613053e-04	   2.9999999e+00	   1.5712013e+00	  -5.1599160e-04	   2.9996130e+00	   1.5712016e+00	   8.9999191e+01	   7.9888802e-03	   1.6020203e-02	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   8.0000000e-02	  -1.2047200e-03	   2.9999995e+00	   1.5717418e+00	  -1.2044288e-03	   2.9990967e+00	   1.5717423e+00	   8.9997519e+01	   1.9812798e-02	   3.6842329e-02	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   1.0000000e-01	  -2.3168155e-03	   2.9999981e+00	   1.5726155e+00	  -2.3162500e-03	   2.9982628e+00	   1.5726155e+00	   8.9992843e+01	   4.2828963e-02	   6.8556444e-02	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   1.2000000e-01	  -3.9416105e-03	   2.9999944e+00	   1.5738929e+00	  -3.9405312e-03	   2.9970446e+00	   1.5738912e+00	   8.9979925e+01	   8.8567435e-02	   1.0892687e-01	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   1.4000000e-01	  -6.1619070e-03	   2.9999852e+00	   1.5756405e+00	  -6.1598684e-03	   2.9953801e+00	   1.5756343e+00	   8.9945002e+01	   1.8549695e-01	   1.4705294e-01	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   1.6000000e-01	  -9.0542835e-03	   2.9999610e+00	   1.5779208e+00	  -9.0505216e-03	   2.9932121e+00	   1.5779046e+00	   8.9851480e+01	   4.0761260e-01	   1.4911218e-01	   0.0000000e+00	  -0.0000000e+00	   0.0000000e+00	
   1.8000000e-01	  -1.2689230e-02	   2.9998788e+00	   1.5807931e+00	  -1.2682559e-02	   2.9904881e+00	   1.5807572e+00	   8.9599735e+01	   9.5481311e-01	   1.8223277e-02	   0.0000000e+00	  -0.0000000e+00	   0.0000000e+00	
   2.0000000e-01	  -1.7130993e-02	   2.9994904e+00	   1.5843124e+00	  -1.7120000e-02	   2.9871600e+00	   1.5842423e+00	   8.8936451e+01	   2.3342819e+00	  -4.9631617e-01	   0.0000000e+00	  -0.0000000e+00	   0.0000000e+00	
   2.2000000e-01	  -2.2436211e-02	   2.9977723e+00	   1.5885155e+00	  -2.2420961e-02	   2.9831843e+00	   1.5884057e+00	   8.7531361e+01	   5.2078759e+00	  -1.7240023e+00	   0.0000000e+00	  -0.0000000e+00	   0.0000000e+00	
   2.4000000e-01	  -2.8654616e-02	   2.9937764e+00	   1.5934125e+00	  -2.8637798e-02	   2.9785217e+00	   1.5932884e+00	   8.5749660e+01	   8.8478059e+00	  -3.3016570e+00	   0.0000000e+00	  -0.0000000e+00	   0.0000000e+00	
   2.6000000e-01	  -3.5834183e-02	   2.9884011e+00	   1.5990489e+00	  -3.5817252e-02	   2.9731371e+00	   1.5989271e+00	   8.4156061e+01	   1.2124934e+01	  -4.6622422e+00	   0.0000000e+00	  -0.0000000e+00	   0.0000000e+00	
   2.8000000e-01	  -4.4017504e-02	   2.9822379e+00	   1.6054742e+00	  -4.4000589e-02	   2.9669996e+00	   1.6053543e+00	   8.2763811e+01	   1.5012531e+01	  -5.7894473e+00	   0.0000000e+00	  -0.0000000e+00	   0.0000000e+00	
   3.0000000e-01	  -5.3240660e-02	   2.9753137e+00	   1.6127177e+00	  -5.3223750e-02	   2.9600822e+00	   1.6125982e+00	   8.1485193e+01	   1.7686680e+01	  -6.7699558e+00	   0.0000000e+00	  -0.0000000e+00	   0.0000000e+00	
   3.2000000e-01	  -6.3534398e-02	   2.9675898e+00	   1.6208023e+00	  -6.3517491e-02	   2.9523619e+00	   1.6206828e+00	   8.0274731e+01	   2.0239128e+01	  -7.6487267e+00	   0.0000000e+00	  -0.0000000e+00	   0.0000000e+00	
   3.4000000e-01	  -7.4924432e-02	   2.9590442e+00	   1.6297480e+00	  -7.4907528e-02	   2.9438194e+00	   1.6296286e+00	   7.9111917e+01	   2.2711618e+01	  -8.4458528e+00	   0.0000000e+00	  -0.0000000e+00	   0.0000000e+00	
   3.6000000e-01	  -8.7431581e-02	   2.9496608e+00	   1.6395711e+00	  -8.7414682e-02	   2.9344390e+00	   1.6394517e+00	   7.7986141e+01	   2.5126098e+01	  -9.1717359e+00	   0.0000000e+00	  -0.0000000e+00	   0.0000000e+00	
   3.8000000e-01	  -1.0107192e-01	   2.9394275e+00	   1.6502841e+00	  -1.0105502e-01	   2.9242087e+00	   1.6501648e+00	   7.6891667e+01	   2.7494779e+01	  -9.8321298e+00	   0.0000000e+00	  -0.0000000e+00	   0.0000000e+00	
   4.0000000e-01	  -1.1585689e-01	   2.9283357e+00	   1.6618962e+00	  -1.1584000e-01	   2.9131200e+00	   1.6617769e+00	   7.5825508e+01	   2.9824402e+01	  -1.0430272e+01	   0.0000000e+00	  -0.0000000e+00	   0.0000000e+00	
   4.2000000e-01	  -1.3179351e-01	   2.9163802e+00	   1.6744128e+00	  -1.3177662e-01	   2.9011675e+00	   1.6742934e+00	   7.4786355e+01	   3.2118385e+01	  -1.0967955e+01	   0.0000000e+00	  -0.0000000e+00	   0.0000000e+00	
   4.4000000e-01	  -1.4888444e-01	   2.9035589e+00	   1.6878359e+00	  -1.4886756e-01	   2.8883493e+00	   1.6877166e+00	   7.3773981e+01	   3.4378023e+01	  -1.1446127e+01	   0.0000000e+00	  -0.0000000e+00	   0.0000000e+00	
   4.6000000e-01	  -1.6712819e-01	   2.8898731e+00	   1.7021645e+00	  -1.6711131e-01	   2.8746665e+00	   1.7020452e+00	   7.2788883e+01	   3.6603207e+01	  -1.1865246e+01	   0.0000000e+00	  -0.0000000e+00	   0.0000000e+00	
   4.8000000e-01	  -1.8651923e-01	   2.8753268e+00	   1.7173942e+00	  -1.8650235e-01	   2.8601232e+00	   1.7172749e+00	   7.1832066e+01	   3.8792875e+01	  -1.2225502e+01	   0.0000000e+00	  -0.0000000e+00	   0.0000000e+00	
   5.0000000e-01	  -2.0704813e-01	   2.8599270e+00	   1.7335175e+00	  -2.0703125e-01	   2.8447266e+00	   1.7333983e+00	   7.0904895e+01	   4.0945307e+01	  -1.2526964e+01	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   5.2000000e-01	  -2.2870172e-01	   2.8436838e+00	   1.7505242e+00	  -2.2868485e-01	   2.8284864e+00	   1.7504050e+00	   7.0008997e+01	   4.3058326e+01	  -1.2769674e+01	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   5.4000000e-01	  -2.5146326e-01	   2.8266096e+00	   1.7684011e+00	  -2.5144639e-01	   2.8114152e+00	   1.7682819e+00	   6.9146193e+01	   4.5129442e+01	  -1.2953718e+01	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   5.6000000e-01	  -2.7531251e-01	   2.8087196e+00	   1.7871322e+00	  -2.7529564e-01	   2.7935283e+00	   1.7870130e+00	   6.8318446e+01	   4.7155955e+01	  -1.3079269e+01	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   5.8000000e-01	  -3.0022594e-01	   2.7900315e+00	   1.8066991e+00	  -3.0020908e-01	   2.7748432e+00	   1.8065800e+00	   6.7527827e+01	   4.9135028e+01	  -1.3146621e+01	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   6.0000000e-01	  -3.2617686e-01	   2.7705653e+00	   1.8270809e+00	  -3.2616000e-01	   2.7553800e+00	   1.8269618e+00	   6.6776484e+01	   5.1063752e+01	  -1.3156211e+01	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   6.2000000e-01	  -3.5313554e-01	   2.7503432e+00	   1.8482542e+00	  -3.5311868e-01	   2.7351610e+00	   1.8481351e+00	   6.6066615e+01	   5.2939184e+01	  -1.3108635e+01	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   6.4000000e-01	  -3.8106937e-01	   2.7293898e+00	   1.8701933e+00	  -3.8105252e-01	   2.7142106e+00	   1.8700743e+00	   6.5400449e+01	   5.4758391e+01	  -1.3004654e+01	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   6.6000000e-01	  -4.0994302e-01	   2.7077315e+00	   1.8928706e+00	  -4.0992617e-01	   2.6925554e+00	   1.8927516e+00	   6.4780224e+01	   5.6518474e+01	  -1.2845199e+01	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   6.8000000e-01	  -4.3971855e-01	   2.6853969e+00	   1.9162563e+00	  -4.3970171e-01	   2.6702237e+00	   1.9161372e+00	   6.4208173e+01	   5.8216596e+01	  -1.2631372e+01	   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
